tissue,cell_type,gene,mean_log1p,pct_expr,n_cells
heart,lymphocyte,ERAP2,0.13154274950582515,16.870346958842536,21357
heart,lymphocyte,CENPV,0.008076481556364363,1.1378002528445006,21357
heart,endothelial cell of artery,EIF4EBP1,0.06778253454486471,8.651637999718798,21337
heart,endothelial cell of artery,PITPNM1,0.029678536426855095,4.114917748511974,21337
heart,endothelial cell of artery,MAGED2,0.22563557301442771,24.933214603739984,21337
heart,endothelial cell of artery,NUDT4,0.0961335188570267,11.098092515348924,21337
heart,endothelial cell of artery,MTFP1,0.0114196729385155,1.593476121291653,21337
heart,endothelial cell of artery,PPM1K,0.05389920410468763,7.114402212119792,21337
heart,endothelial cell of artery,NAMPT,0.23253442889475168,24.48329193419881,21337
heart,endothelial cell of artery,CCND1,0.12605574350356608,14.060083423161645,21337
heart,endothelial cell of artery,FBLN1,0.027318487139647,3.0182312415053665,21337
heart,endothelial cell of artery,ERAP2,0.07831368794083433,9.771757979097343,21337
heart,endothelial cell of artery,CENPV,0.0028832638258674114,0.40305572479730045,21337
heart,macrophage,EIF4EBP1,0.10780935609346821,12.421270005162622,19370
heart,macrophage,PITPNM1,0.017663543348652097,2.4470831182240578,19370
heart,macrophage,MAGED2,0.039588752282792045,5.126484254001032,19370
heart,macrophage,NUDT4,0.06665537260707408,8.125967991739804,19370
heart,macrophage,MTFP1,0.00883653829807957,1.1977284460505937,19370
heart,macrophage,PPM1K,0.035523366066494984,4.5018069179143,19370
heart,macrophage,NAMPT,0.6373449690574583,41.08931337119257,19370
heart,macrophage,CCND1,0.035942105041931266,4.274651522973671,19370
heart,macrophage,FBLN1,0.0374287448534968,4.176561693340217,19370
heart,macrophage,ERAP2,0.046414200430009926,5.823438306659783,19370
heart,macrophage,CENPV,0.002895218549343379,0.4078471863706763,19370
heart,stromal cell,EIF4EBP1,0.02754147832967286,3.8140498385426187,16413
heart,stromal cell,PITPNM1,0.003121962809064434,0.4264911960031682,16413
heart,stromal cell,MAGED2,0.1533199538916126,18.911838177054772,16413
heart,stromal cell,NUDT4,0.01154440371578967,1.5658319624687747,16413
heart,stromal cell,MTFP1,0.0010980214917491982,0.15841101565831964,16413
heart,stromal cell,PPM1K,0.018904016054665112,2.5284835191616404,16413
heart,stromal cell,NAMPT,0.006785828925018692,0.907816974349601,16413
heart,stromal cell,CCND1,0.039086845219916067,5.245841710838969,16413
heart,stromal cell,FBLN1,0.298266140110044,32.83372936087248,16413
heart,stromal cell,ERAP2,0.003952242313729687,0.5666240175470664,16413
heart,stromal cell,CENPV,0.0031291390150968838,0.4203984646316944,16413
heart,endothelial cell of vascular tree,EIF4EBP1,0.005232644403549627,0.7399846899719316,11757
heart,endothelial cell of vascular tree,PITPNM1,0.0032425869724889834,0.4678064132006464,11757
heart,endothelial cell of vascular tree,MAGED2,0.046385543184376925,6.158033511950327,11757
heart,endothelial cell of vascular tree,NUDT4,0.012991536745482018,1.760653227864251,11757
heart,endothelial cell of vascular tree,MTFP1,0.0018621270547282628,0.26367270562218253,11757
heart,endothelial cell of vascular tree,PPM1K,0.009178272140890986,1.2673301012162967,11757
heart,endothelial cell of vascular tree,NAMPT,0.04322793226800951,5.49459896232032,11757
heart,endothelial cell of vascular tree,CCND1,0.05729782512381215,7.391341328570213,11757
heart,endothelial cell of vascular tree,FBLN1,0.004549639884271903,0.6379178361826997,11757
heart,endothelial cell of vascular tree,ERAP2,0.03262074281439911,4.456919282129795,11757
heart,endothelial cell of vascular tree,CENPV,0.0011546535334579391,0.1616058518329506,11757
heart,endocardial cell,EIF4EBP1,0.12875127404418626,13.46938775510204,9065
heart,endocardial cell,PITPNM1,0.004326718956873158,0.6177606177606177,9065
heart,endocardial cell,MAGED2,0.41689734842917964,36.293436293436294,9065
heart,endocardial cell,NUDT4,0.0602447661390899,7.2476558190843905,9065
heart,endocardial cell,MTFP1,0.022725948969172433,2.989520132377275,9065
heart,endocardial cell,PPM1K,0.03301261448426202,4.357418643132929,9065
heart,endocardial cell,NAMPT,0.03821354454154147,5.07446221731936,9065
heart,endocardial cell,CCND1,0.08659058758650967,10.193050193050192,9065
heart,endocardial cell,FBLN1,0.0332810115367092,4.236072807501379,9065
heart,endocardial cell,ERAP2,0.03156405058080691,4.236072807501379,9065
heart,endocardial cell,CENPV,0.0061691016961511694,0.827357970215113,9065
heart,vein endothelial cell,EIF4EBP1,0.06411852720866412,8.140599954201969,8734
heart,vein endothelial cell,PITPNM1,0.005853330949801233,0.8243645523242501,8734
heart,vein endothelial cell,MAGED2,0.19901181142226984,22.18914586672773,8734
heart,vein endothelial cell,NUDT4,0.0931242288373716,11.518204717197161,8734
heart,vein endothelial cell,MTFP1,0.012877638399505441,1.7632241813602014,8734
heart,vein endothelial cell,PPM1K,0.04422286994292912,5.976643004350813,8734
heart,vein endothelial cell,NAMPT,0.5830954389575419,47.49255782001374,8734
heart,vein endothelial cell,CCND1,0.06322116635608432,7.499427524616442,8734
heart,vein endothelial cell,FBLN1,0.014002191138698822,1.9235172887565835,8734
heart,vein endothelial cell,ERAP2,0.10323106405908083,12.594458438287154,8734
heart,vein endothelial cell,CENPV,0.006521164647550694,0.9274101213647813,8734
heart,cardiac neuron,EIF4EBP1,0.012066203376954052,1.7019713481082406,8167
heart,cardiac neuron,PITPNM1,0.0032251246398499796,0.4652871311375046,8167
