tissue,cell_type,gene,mean_log1p,pct_expr,n_cells
muscle,Schwann cell,CENPV,0.002466715951831315,0.35587188612099646,281
muscle,neuron,EIF4EBP1,0.0524189414516572,6.854838709677419,248
muscle,neuron,PITPNM1,0.0,0.0,248
muscle,neuron,MAGED2,0.4232609483503526,46.774193548387096,248
muscle,neuron,NUDT4,0.14001220272433373,18.14516129032258,248
muscle,neuron,MTFP1,0.0,0.0,248
muscle,neuron,PPM1K,0.019564638214726603,2.8225806451612905,248
muscle,neuron,NAMPT,0.011179793265558059,1.6129032258064515,248
muscle,neuron,CCND1,0.0687136996176935,9.67741935483871,248
muscle,neuron,FBLN1,0.046354113086577386,6.451612903225806,248
muscle,neuron,ERAP2,0.0,0.0,248
muscle,neuron,CENPV,0.0027949483163895146,0.4032258064516129,248
muscle,tendon cell,EIF4EBP1,0.2516929145552154,20.94017094017094,234
muscle,tendon cell,PITPNM1,0.033087188362056374,4.273504273504273,234
muscle,tendon cell,MAGED2,0.9452002705671848,54.7008547008547,234
muscle,tendon cell,NUDT4,0.6509753496218951,52.136752136752136,234
muscle,tendon cell,MTFP1,0.011848669785719652,1.7094017094017093,234
muscle,tendon cell,PPM1K,0.2444778527968969,23.076923076923077,234
muscle,tendon cell,NAMPT,1.2209545058062954,56.837606837606835,234
muscle,tendon cell,CCND1,0.1609404372353839,11.965811965811966,234
muscle,tendon cell,FBLN1,3.277200781382047,93.58974358974359,234
muscle,tendon cell,ERAP2,0.4917957334436922,27.35042735042735,234
muscle,tendon cell,CENPV,0.07548014322916667,4.273504273504273,234
muscle,"CD4-positive, alpha-beta T cell",EIF4EBP1,0.0842883187721218,2.7149321266968327,221
muscle,"CD4-positive, alpha-beta T cell",PITPNM1,0.08958362184498644,3.6199095022624435,221
muscle,"CD4-positive, alpha-beta T cell",MAGED2,0.3185603133154131,9.502262443438914,221
muscle,"CD4-positive, alpha-beta T cell",NUDT4,0.5191940344296969,25.339366515837103,221
muscle,"CD4-positive, alpha-beta T cell",MTFP1,0.3279682770034307,8.597285067873303,221
muscle,"CD4-positive, alpha-beta T cell",PPM1K,0.7301457197957448,29.41176470588235,221
muscle,"CD4-positive, alpha-beta T cell",NAMPT,1.5551160735781915,38.46153846153846,221
muscle,"CD4-positive, alpha-beta T cell",CCND1,0.018049701846023492,0.9049773755656109,221
muscle,"CD4-positive, alpha-beta T cell",FBLN1,0.015682062951687774,2.262443438914027,221
muscle,"CD4-positive, alpha-beta T cell",ERAP2,0.5218704129775725,20.81447963800905,221
muscle,"CD4-positive, alpha-beta T cell",CENPV,0.07095092238344218,2.7149321266968327,221
muscle,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",EIF4EBP1,0.0701026396728805,9.004739336492891,211
muscle,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",PITPNM1,0.07282948380962932,9.95260663507109,211
muscle,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",MAGED2,0.2124765495553401,27.01421800947867,211
muscle,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",NUDT4,0.21297588845564855,27.488151658767773,211
muscle,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",MTFP1,0.41455041062775383,45.97156398104266,211
