miRNA,gene,clipExpNum,panCancer,n_program,xref_validated
hsa-miR-513a-5p,CCND1,6,4,2,TRUE
hsa-miR-513a-5p,CCND1,4,4,3,TRUE
hsa-miR-532-5p,CCND1,21,16,1,FALSE
hsa-miR-532-5p,CCND1,13,16,1,FALSE
hsa-miR-455-5p,CCND1,3,3,1,TRUE
hsa-miR-493-3p,CCND1,5,0,1,TRUE
hsa-miR-545-3p,CCND1,49,5,1,TRUE
hsa-miR-545-3p,CCND1,12,5,1,TRUE
hsa-miR-487b-3p,CCND1,6,2,1,TRUE
hsa-miR-552-3p,CCND1,4,3,1,FALSE
hsa-miR-552-3p,CCND1,12,3,1,FALSE
hsa-miR-552-3p,CCND1,42,3,1,FALSE
hsa-miR-92b-3p,CCND1,15,7,1,TRUE
hsa-miR-556-5p,CCND1,40,5,1,TRUE
hsa-miR-576-5p,CCND1,3,8,1,TRUE
hsa-miR-599,CCND1,15,2,1,FALSE
hsa-miR-599,CCND1,5,2,1,FALSE
hsa-miR-599,CCND1,3,2,1,FALSE
hsa-miR-613,CCND1,3,0,3,FALSE
hsa-miR-33b-5p,CCND1,17,8,1,TRUE
hsa-miR-641,CCND1,19,10,1,FALSE
hsa-miR-449b-5p,CCND1,8,3,4,TRUE
hsa-miR-655-3p,CCND1,3,4,2,FALSE
hsa-miR-425-5p,CCND1,3,12,1,TRUE
hsa-miR-758-3p,CCND1,11,2,1,FALSE
hsa-miR-671-5p,CCND1,7,9,1,TRUE
hsa-miR-668-3p,CCND1,8,4,3,TRUE
hsa-miR-668-3p,CCND1,4,4,3,TRUE
hsa-miR-668-3p,CCND1,11,4,3,TRUE
hsa-miR-199b-3p,CCND1,14,4,1,TRUE
hsa-miR-214-5p,CCND1,4,0,1,TRUE
hsa-miR-130a-5p,CCND1,10,7,2,FALSE
hsa-miR-140-3p,CCND1,8,8,1,FALSE
hsa-miR-296-3p,CCND1,5,5,1,FALSE
hsa-miR-361-3p,CCND1,4,9,1,FALSE
hsa-miR-362-3p,CCND1,15,13,2,FALSE
hsa-miR-340-5p,CCND1,17,8,2,TRUE
hsa-miR-340-5p,CCND1,12,8,1,TRUE
hsa-miR-340-5p,CCND1,67,8,3,TRUE
hsa-miR-340-5p,CCND1,11,8,2,TRUE
hsa-miR-340-5p,CCND1,3,8,2,TRUE
hsa-miR-340-5p,CCND1,34,8,2,TRUE
hsa-miR-340-5p,CCND1,4,8,2,TRUE
hsa-miR-330-5p,CCND1,4,6,2,TRUE
hsa-miR-488-3p,CCND1,36,8,1,FALSE
hsa-miR-501-3p,CCND1,4,12,1,TRUE
hsa-miR-501-3p,CCND1,7,12,1,TRUE
hsa-miR-502-3p,CCND1,4,17,1,TRUE
hsa-miR-502-3p,CCND1,7,17,1,TRUE
hsa-miR-532-3p,CCND1,9,11,1,FALSE
hsa-miR-574-5p,CCND1,13,1,1,TRUE
hsa-miR-616-3p,CCND1,3,8,1,FALSE
hsa-miR-654-3p,CCND1,4,1,1,FALSE
hsa-miR-300,CCND1,39,0,1,FALSE
hsa-miR-300,CCND1,3,0,1,FALSE
hsa-miR-541-5p,CCND1,10,2,1,TRUE
hsa-miR-541-5p,CCND1,3,2,1,TRUE
hsa-miR-889-3p,CCND1,14,3,1,FALSE
hsa-miR-374b-5p,CCND1,66,11,3,TRUE
hsa-miR-374b-5p,CCND1,24,11,3,TRUE
hsa-miR-208b-3p,CCND1,19,4,1,FALSE
hsa-miR-942-5p,CCND1,3,10,1,TRUE
hsa-miR-1271-5p,CCND1,3,6,2,TRUE
hsa-miR-1294,CCND1,12,0,1,FALSE
hsa-miR-1269a,CCND1,3,6,2,TRUE
hsa-miR-1276,CCND1,35,6,1,TRUE
hsa-miR-302e,CCND1,3,0,5,FALSE
hsa-miR-302e,CCND1,9,0,2,FALSE
hsa-miR-1197,CCND1,6,4,1,TRUE
hsa-miR-1197,CCND1,4,4,1,TRUE
hsa-miR-1913,CCND1,11,3,1,FALSE
hsa-miR-1913,CCND1,3,3,1,FALSE
hsa-miR-224-3p,CCND1,11,3,1,FALSE
hsa-miR-2278,CCND1,4,5,2,FALSE
hsa-miR-2278,CCND1,15,5,2,FALSE
hsa-miR-3118,CCND1,37,0,1,FALSE
hsa-miR-3118,CCND1,11,0,1,FALSE
hsa-miR-3126-5p,CCND1,7,1,1,TRUE
hsa-miR-3163,CCND1,16,3,1,FALSE
hsa-miR-3163,CCND1,11,3,1,FALSE
hsa-miR-3163,CCND1,4,3,1,FALSE
hsa-miR-1193,CCND1,5,2,1,TRUE
hsa-miR-323b-3p,CCND1,32,2,1,TRUE
hsa-miR-3179,CCND1,10,0,1,TRUE
hsa-miR-3614-5p,CCND1,17,5,1,TRUE
hsa-miR-3614-5p,CCND1,3,5,1,TRUE
hsa-miR-23c,CCND1,10,2,2,FALSE
hsa-miR-374c-5p,CCND1,4,1,2,FALSE
hsa-miR-4458,CCND1,12,1,2,TRUE
hsa-miR-4500,CCND1,23,0,3,TRUE
hsa-miR-4500,CCND1,3,0,1,TRUE
hsa-miR-1269b,CCND1,3,2,1,FALSE
hsa-miR-4524a-5p,CCND1,7,3,1,TRUE
hsa-miR-4524a-5p,CCND1,33,3,1,TRUE
hsa-miR-4524b-5p,CCND1,7,0,1,TRUE
hsa-miR-4524b-5p,CCND1,33,0,1,TRUE
hsa-miR-5590-3p,CCND1,63,3,2,TRUE
hsa-miR-5688,CCND1,35,2,1,FALSE
hsa-miR-5688,CCND1,46,2,1,FALSE
hsa-miR-5688,CCND1,4,2,1,FALSE
hsa-miR-514a-5p,CCND1,3,7,1,FALSE
hsa-miR-1277-5p,CCND1,14,0,1,FALSE
hsa-miR-1277-5p,CCND1,63,0,1,FALSE
hsa-miR-1277-5p,CCND1,6,0,1,FALSE
hsa-miR-1277-5p,CCND1,18,0,1,FALSE
hsa-miR-1306-5p,CCND1,10,12,1,FALSE
hsa-miR-6088,CCND1,20,0,1,FALSE
hsa-miR-6838-5p,CCND1,7,1,1,TRUE
hsa-miR-6838-5p,CCND1,33,1,1,TRUE
hsa-miR-15a-5p,FBLN1,3,12,1,TRUE
hsa-miR-16-5p,FBLN1,3,14,1,TRUE
hsa-miR-21-5p,FBLN1,5,4,1,TRUE
hsa-miR-24-3p,FBLN1,7,9,3,TRUE
hsa-miR-139-5p,FBLN1,3,2,1,TRUE
hsa-miR-214-3p,FBLN1,3,0,1,TRUE
hsa-miR-221-3p,FBLN1,8,8,2,FALSE
hsa-miR-222-3p,FBLN1,8,10,2,TRUE
hsa-miR-15b-5p,FBLN1,3,12,1,TRUE
