"gene","module"
"AKR1B10","turquoise"
"HEXIM2","turquoise"
"TLE1","grey"
"TMEM108","grey"
"E2F3","turquoise"
"ALDH1A2","blue"
"H3-3B","greenyellow"
"ACKR3","purple"
"ZRANB1","turquoise"
"HOMER3","green"
"NTPCR","turquoise"
"RXRG","turquoise"
"SRSF11","cyan"
"THBD","red"
"HDAC9","turquoise"
"RTN4IP1","turquoise"
"IFITM3","red"
"DUSP10","grey"
"TPM4","pink"
"AP5M1","turquoise"
"ABCA8","pink"
"H2BC5","turquoise"
"DNM1L","brown"
"TMEM120A","green"
"GLUL","blue"
"TMEM182","brown"
"CCNG1","black"
"TMSB4XP4","pink"
"ZNF266","blue"
"HSD17B7","yellow"
"GOLGA4","brown"
"DCN","pink"
"SLC1A3","grey"
"CAMK2N1","magenta"
"ABCA5","purple"
"HOXA4","blue"
"MFAP4","red"
"PRPH2","grey"
"PECAM1","red"
"FST","blue"
"PHKB","turquoise"
"MYBPC2","turquoise"
"SLC4A7","brown"
"GSN","pink"
"SLC25A23","turquoise"
"NCEH1","brown"
"LACTB","turquoise"
"CASQ2","grey"
"SMOC2","yellow"
"SPSB1","blue"
"GNL3L","yellow"
"OXCT1","grey"
"RSU1","yellow"
"CRLF1","red"
"ST3GAL5","turquoise"
"XRCC2","yellow"
"ATP5MJ","turquoise"
"KIF1B","grey"
"PLP2","grey"
"BCL2","turquoise"
"LYVE1","yellow"
"ATP1B4","blue"
"MRAS","blue"
"MICA","yellow"
"DDIT4","yellow"
"CACNG1","blue"
"ABHD3","blue"
"H2AJ","grey"
"ABLIM1","pink"
"SPARCL1","magenta"
"OAZ2","grey"
"RDH5","red"
"SYNPO2L","cyan"
"COX7A2P2","black"
"TNFRSF10B","blue"
"EYA1","turquoise"
"MAGEB10","yellow"
"STRADB","turquoise"
"HDAC4","blue"
"RPL7","black"
"MYF6","grey"
"GDE1","turquoise"
"ATP2A1","grey"
"MFGE8","red"
"C1orf122","turquoise"
"COQ3","turquoise"
"DNASE2","grey"
"DECR1","turquoise"
"VIM","pink"
"SMYD2","turquoise"
"TP63","greenyellow"
"PHTF2","grey60"
"MXRA7","yellow"
"GASK1B","magenta"
"MSS51","black"
"ENG","pink"
"KIR3DX1","yellow"
"SC5D","brown"
"GIMAP4","magenta"
"ARHGDIB","red"
"ACSL1","turquoise"
"MYL3","grey"
"ACTN4","yellow"
"SYTL2","grey"
"LDLR","grey"
"TMEM14B","black"
"SLC25A46","brown"
"NDUFAF7","yellow"
"NPRL3","blue"
"TUBA4A","grey"
"CDC37L1","brown"
"NUDT4","turquoise"
"TMEM140","grey"
"OSBPL7","grey"
"MMRN2","red"
"UBALD2","turquoise"
"PSMB9","magenta"
"SCN11A","yellow"
"TM4SF18","purple"
"PSMD8","grey"
"TMBIM4","yellow"
"GLIPR2","pink"
"GPSM2","grey"
"TNFAIP2","grey"
"PANK1","grey"
"RASA4","grey"
"SQSTM1","grey"
"PXDC1","blue"
"MMD","blue"
"ANKHD1","blue"
"MTRR","black"
"H1-10","yellow"
"GAB2","grey"
"RFLNB","magenta"
"ATP5F1C","turquoise"
"PCBP4","lightgreen"
"CFAP68","yellow"
"SLC30A9","brown"
"GET1","brown"
"ITGB1BP2","turquoise"
"DPYSL2","purple"
"BMAL1","grey"
"MGST1","blue"
"DNAJC25-GNG10","black"
"PPCS","black"
"ALDH1B1","turquoise"
"ESR1","grey"
"RBPMS2","red"
"TYROBP","tan"
"PABPC4","green"
"NT5C3A","brown"
"MTX2","turquoise"
"IFFO1","salmon"
"OIP5","grey"
"TYMP","magenta"
"CMBL","grey"
"NDUFAF4","brown"
"MEPCE","yellow"
"CTNNBIP1","brown"
"MTRES1","turquoise"
"HPGD","pink"
"IDH3A","green"
"MYDGF","red"
"LXN","magenta"
"TMSB4XP8","pink"
"PWWP3B","purple"
"CMPK1","black"
"IQGAP1","red"
"MYBBP1A","green"
"PSTPIP2","brown"
"PDE4B","greenyellow"
"PLGRKT","turquoise"
"RARRES2","blue"
"E2F8","turquoise"
"SIRT5","turquoise"
"CBR4","yellow"
"MAF","brown"
"PCBD2","turquoise"
"SLFN13","yellow"
"HOMER2","turquoise"
"H1-2","grey"
"RAB40B","grey"
"FAM174C","red"
"TRIM58","yellow"
"ACTG1","greenyellow"
"TMEM126A","turquoise"
"CISD1","brown"
"EPB41L4A-AS1","grey"
"GNG11","magenta"
"CRIP2","pink"
"PCSK5","magenta"
"TP53TG1","black"
"CAV2","purple"
"NEURL2","turquoise"
"HSDL2","brown"
"VWA1","red"
"SKAP2","blue"
"LACTB2","turquoise"
"METTL21A","yellow"
"TMEM158","blue"
"HDDC3","turquoise"
"FBLN1","blue"
"CD164","black"
"UBE2Q2","black"
"TOM1","yellow"
"DMPK","grey"
"MTARC2","turquoise"
"COL22A1","grey"
"RYBP","blue"
"TMEM161A","blue"
"EGF","salmon"
"COTL1","tan"
"NRIP1","salmon"
"SUCLA2","turquoise"
"IRF2BPL","grey"
"COL21A1","grey"
"ZNF148","cyan"
"VN1R2","midnightblue"
"BRD4","cyan"
"VLDLR","turquoise"
